Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
UserName	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
User_Day	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
RecallNo	1	1	2	2.03846153846154	3	3	0.870896973505786
FoodAmt	1395.2	1732.7439625	1956.7375	2023.37269038462	2274.56495	2800	376.626203329356
KCAL	1166.980298	1578.48846875	1771.6945	2060.71832598077	2484.624875	4153.67	796.571933934471
PROT	38.549255	56.9437521875	95.312239995	96.6218419823077	123.601628125	185.576385	41.8442398673015
TFAT	40.533522345	65.0145884375	85.819378125	97.5157750186538	112.94470345	202.2721	45.1455504469365
CARB	44.81469744	109.65902235125	205.670205	199.983415233269	250.43880875	445.9172	108.943110186892
MOIS	1049.907645	1372.78235125	1627.208837375	1603.79492325481	1829.9057675	2176.9113	321.673175043632
ALC	0	0	0	3.85592307692308	6.9435	19.14	6.35204807238155
CAFF	0	0	30.24	68.2359230769231	102.12	342.36	90.9677181430525
THEO	0	0	0	19.5721153846154	5.04	228.41	49.6211744353774
SUGR	8.5319034	29.1336365925	51.39870508	65.3340045719231	99.6741615625	163.6644	44.4140009447408
FIBE	8.517682	12.86214375	19.85835	20.7144052538462	26.0110875	52.6255	10.2726186627326
CALC	241.6400305	712.50823625	908.449971	1004.90747528846	1315.434911	1938.24	427.7987907359
IRON	7.31352	11.2915993	12.82771	15.2533074013462	17.022382245	41.499425	7.42858424196052
MAGN	172.051	287.72517075	325.466282	338.934221884615	389.9134185	589.3865	88.8062948703875
PHOS	808.23875	1131.8885375	1777.0685	1674.63726965385	2130.963625	2673.93	583.6437133424
POTA	1515.30975	2195.547459	2748.49575	2982.16242863462	3638.053875	4723.925	972.273290762067
SODI	1850.946	2551.396875	3964.6755	4320.92257182692	5709.550610125	10280.607304	2050.73849696804
ZINC	5.6415325	7.9389228975	10.9411699	11.8637874978846	14.25724572	26.434145	5.24906998931713
COPP	0.55893725	1.124149442	1.293038985	1.37111798751923	1.57602353125	2.4030875	0.430406557485352
SELE	39.8705	89.79635625	135.3212125	135.436456640385	176.3249948125	249.34355	57.5953813873769
VC	10.779	45.43308125	72.8005264	98.0101999884615	156.321875	237.6015	68.3366442147287
VB1	0.7786680305	1.1399759375	1.46454475	1.60360945771154	1.8489750625	4.570951875	0.761710712067241
VB2	0.94949825	1.2894311875	2.023470375	2.16177376663462	2.956135231	3.336335	0.824913291031379
NIAC	9.792285	14.18829803125	19.38948385	22.9847263876154	31.0904409055	56.9373245	11.1255698248363
VB6	0.81492475	1.47319925	1.948224875	2.23903687092308	2.65213675	4.6696245	1.01723168419075
FOLA	239.770864	327.9624375	408.8744375	480.570293423077	534.92578125	1106.213	218.235478738879
FA	0	33.03125	107.6275	143.245165384615	208.15375	601.8	148.511749461217
FF	148.79875	258.775339	316.1852555	337.672051115385	409.131125	672.1355	138.598625012868
FDFE	268.378	391.951125	490.6319375	580.690497269231	647.606875	1411.7405	306.352881565584
VB12	1.8099	4.438245	6.556659	8.25599886538462	10.829805	21.3485	5.57541484182746
VARA	109.0855	412.749625	701.6875	810.143524038462	1033.2652375	3221.637	605.562547314636
RET	88.452	200.695625	510.3425	553.219482846154	668.1445	2735.775	526.036006535716
BCAR	235.0485	924.02725	2089.6094375	2834.02419442308	3872.66225	8081.454375	2361.70957661886
ACAR	0.21	50.36375	117.425125	463.007884230769	594.50625	2296.582	635.289167944863
CRYP	3.255	15.832425	38.596375	49.3070490384615	66.712625	138.09025	41.3940102526323
LYCO	0	5.288	734.352	2558.04146634615	3167.1455	13795.2	3999.04712945427
LZ	197.61	692.338375	2376.9365	3386.10256269231	4208.865125	14273.5815	3546.63225383057
ATOC	4.336925	7.8975203125	9.324995	10.3025218292308	13.68977375	18.987955	4.18345782400018
