UserName	F_TOTAL	F_CITMLB	F_OTHER	F_JUICE	V_TOTAL	V_DRKGR	V_REDOR_TOTAL	V_REDOR_TOMATO	V_REDOR_OTHER	V_STARCHY_TOTAL	V_STARCHY_POTATO	V_STARCHY_OTHER	V_OTHER	V_LEGUMES	G_TOTAL	G_WHOLE	G_REFINED	PF_TOTAL	PF_MPS_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_ORGAN	PF_POULT	PF_SEAFD_HI	PF_SEAFD_LOW	PF_EGGS	PF_SOY	PF_NUTSDS	PF_LEGUMES	D_TOTAL	D_MILK	D_YOGURT	D_CHEESE	OILS	SOLID_FATS	ADD_SUGARS	A_DRINKS	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
VVKAJ101	2.7837725	0.835775	1.7702475	0.17775	2.781285625	1.3401075	0.15025	0	0.15025	0	0	0	1.290928125	0.695875	4.9228	3.4531	1.4697	2.80635	0	0	0	0	0	0	0	0.90465	0	1.9017	2.737575	1.867945	0.55009	0.753375	0.2772	41.62609	16.69007	11.431355	0	-3.51287500607993	2.1170504393183	0.934355142311559	-1.16959527154959	-0.21670084436956	0.824273535211889	-0.174207150545157	0.863085949361049	0.371460417200725	-5.96744875736022e-16
VVKAJ102	0	0	0	0	5.682633125	0.37562	1.166875	1.166875	0	2.37173125	2.3073	0.06443125	1.768406875	0.6388375	3.32355	0.7761	2.54745	2.671265625	0.1008	0	0.1008	0	0	0	0	0.2525	1.6779	0.640065625	2.5619625	0.42955	0.37025	0	0.007	67.330009375	5.85528875	1.26387	0	-1.07598403025268	-0.0401794329505857	-1.56452434443909	3.79790763499982	0.190773986995377	0.148869701077275	0.372827413546139	0.330115311273243	-0.0168624012557768	1.38777878078145e-17
VVKAJ103	0.4752	0	0.3312	0.144	3.82841166666667	0.635733333333333	0.0440333333333333	0.0148333333333333	0.0292	0.0972	0	0.0972	3.051445	0.016	0.0969	0	0.0969	15.3085483333333	10.80309	0	2.75831	0	2.1878	4.69854	1.15844	2.42633333333333	0.064	2.015125	0.064	1.53064	0.672206666666667	0.19	0.394833333333333	54.136065	27.42091	2.51204	0.1098	0.504810905142316	-2.06678032226299	3.43444260006062	1.02449573629413	-1.06354984623167	-0.788275075661986	-0.799075527156815	-0.010198556669806	0.208560284449079	-3.00107161343988e-16
VVKAJ104	0.309691666666667	0.22985	0.0798416666666667	0	1.85538916666667	0.00333	0.364833333333333	0.339283333333333	0.02555	0.8064875	0.763533333333333	0.0429541666666667	0.680738333333333	0	7.3598	0	7.3598	7.43375	6.70386666666667	3.4566	1.3261	0	1.92116666666667	0	0	0.729883333333333	0	0	0	2.1233275	0.612316666666667	0.177454166666667	1.33355666666667	30.5934716666667	51.8444041666667	15.9769216666667	0.9744	2.83729518478747	0.682304426799462	-0.699586509291954	-0.519471093139231	0.899002893839997	-0.206441258342128	-0.898347008304712	0.740655383818393	-0.745060395656158	-2.77555756156289e-17
VVKAJ105	0.0588	0	0.0588	0	2.2699925	0.2065	0.3501125	0	0.3501125	0.2124	0	0.2124	1.50098	0.216525	6.1346	1.0319	5.1027	14.006105	8.666505	0	0	0	0	1.658475	7.00803	3.5931	1.7465	0	0.868425	0.1892	0.177	0	0	32.31351148	13.17898	2.830645	0.276	-0.829394554571625	-3.1390729205843	-2.37409038399416	-1.42178124158058	-1.89697880943875	-0.226850985018564	0.342801367080785	0.149822878691354	-0.173661892947656	-4.9960036108132e-16
VVKAJ106	2.33064	0.018375	1.577625	0.73464	1.6142825	0.447545	0.1583	0.1458	0.0125	0	0	0	1.0084375	0.424925	5.3034	0.536	4.7674	3.304875	0	0	0	0	0	0	0	0.028	0	3.276875	1.694025	2.04672	0.65572	0.2205	0.5205	38.89605	15.67217	1.1947	0	-1.32873991810536	1.89211273253517	0.998704139045459	-0.521227431950374	0.411982559551443	-1.77322644289646	1.03046100737424	-0.292975438584538	-0.425808323797952	4.85722573273506e-16
VVKAJ107	0.7807	0.7807	0	0	2.69747916666667	0.581163333333333	0.318295	0.10962	0.208675	0.302554166666667	0.2596	0.0429541666666667	1.49546666666667	0.838416666666667	5.5531	1.5665	3.9866	0.516630416666667	0	0	0	0	0	0	0	0.0493866666666667	0.0644	0.40284375	3.438775	1.0464	0.288	0.0236	0.7348	42.4813879166667	10.9311158333333	9.49946666666667	0	-2.09473913176177	0.879792102977588	-0.92862676366837	-0.0376589691848188	0.137629874582685	0.572566557624093	-1.06702120011685	-1.16020548020562	-0.252465492985835	-5.27355936696949e-16
VVKAJ108	0.219983333333333	0.219983333333333	0	0	2.90058833333333	0.794791666666667	0.114166666666667	0	0.114166666666667	0.110133333333333	0.0569333333333333	0.0532	1.88149666666667	0	0.0285	0	0.0285	12.5395383333333	9.07208	2.2902	0.22976	0	0	6.55212	0	2.44856666666667	0.470166666666667	0.548725	0	3.34490833333333	1.93546666666667	0	0.542775	46.4645031633333	31.7183820833333	0.64629125	0	1.06092162048422	-1.72949821823542	1.85755236074835	-0.342617050269504	0.893600386601269	1.74659780001454	0.939801405988556	-0.231278503214112	-0.318144488173562	2.67147415300428e-16
VVKAJ109	0.623832666666667	0	0.614716666666667	0.009116	1.47759486	0	0.406666666666667	0.406666666666667	0	0.919266666666667	0.919266666666667	0	0.151661526666667	0	15.041408	0	15.041408	4.47842666666667	2.94486666666667	1.32853333333333	1.61633333333333	0	0	0	0	1.27556	0	0.258	0	4.76361833333333	1.2566	0	3.50701833333333	51.9979797333333	108.911844706667	24.1164433333333	1.13	3.78297203187918	2.93188363460649	-0.518212813417981	-0.0388358741059825	-1.49586736963251	0.331466191777577	0.318827169849022	-0.28910128765051	0.482130738485204	7.21644966006352e-16
VVKAJ110	0.180570833333333	0.065625	0.114945833333333	0	1.28477	0.132733333333333	0.036	0	0.036	0.0708333333333333	0.0346666666666667	0.0361666666666667	1.04520333333333	0.3285	4.01513333333333	0.0908333333333333	3.9243	8.46673	6.36858	1.94819333333333	0.255866666666667	0	0.2821	3.73842	0.144	0.697733333333333	1.40041666666667	0	1.3185	0.454523333333333	0.287106666666667	0.167416666666667	0	16.16238392	11.05006	0.1931	0	0.655732898478175	-1.52761244220372	-1.14001342735444	-0.771216439513869	2.14010716810172	-0.628980023786238	-0.0660674777152131	-0.099920256819449	0.869851554681932	-6.93889390390723e-17
