UserName	macronutrient	n	mean	sd
VVKAJ101	CARB	2	276.764558125	86.3133383795091
VVKAJ102	CARB	2	182.3354475	41.7275838459479
VVKAJ103	CARB	3	76.5738616666667	23.401654259114
VVKAJ104	CARB	3	249.4749675	35.1887698086365
VVKAJ105	CARB	2	193.3229820825	92.2893534806642
VVKAJ106	CARB	2	199.309285	2.18421749174617
VVKAJ107	CARB	3	227.095393333333	14.3843998337959
VVKAJ108	CARB	3	68.10873248	22.9590725944246
VVKAJ109	CARB	3	412.747823233333	28.728925777632
VVKAJ110	CARB	3	131.367305336667	35.0815807481975
VVKAJ101	PROT	2	64.228001875	22.5272809550353
VVKAJ102	PROT	2	48.722125625	14.3866116061419
VVKAJ103	PROT	3	133.345058333333	56.498559438942
VVKAJ104	PROT	3	98.2588175	37.1749681912857
VVKAJ105	PROT	2	116.663835495	27.4779026618811
VVKAJ106	PROT	2	65.68597	32.4986983740118
VVKAJ107	PROT	3	45.4340154166667	9.12970438537
VVKAJ108	PROT	3	147.5580739	22.0659141904395
VVKAJ109	PROT	3	116.914002066667	5.07901649002175
VVKAJ110	PROT	3	99.0127079666667	16.6184716255378
VVKAJ101	TFAT	2	76.52888875	9.11930336628863
VVKAJ102	TFAT	2	83.961218125	5.05240965021587
VVKAJ103	TFAT	3	117.092281666667	52.1113132731234
VVKAJ104	TFAT	3	107.753508333333	25.2631016745983
VVKAJ105	TFAT	2	74.2700955725	47.7107194063236
VVKAJ106	TFAT	2	69.063795	15.5676416813996
VVKAJ107	TFAT	3	63.7562625	24.0269933412429
VVKAJ108	TFAT	3	113.7896299	25.1743799757076
VVKAJ109	TFAT	3	185.753561346667	15.9738749409343
VVKAJ110	TFAT	3	54.44214145	8.24613294968957
