F_TOTAL	G_WHOLE	PF_NUTSDS	OILS	V_DRKGR	V_STARCHY_TOTAL	V_REDOR_OTHER	PF_SEAFD_LOW	V_OTHER	PF_LEGUMES	G_TOTAL	PF_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_SEAFD_HI	PF_SOY	D_TOTAL	SOLID_FATS
2.7837725	3.4531	1.9017	41.62609	1.3401075	0	0.15025	0	1.290928125	2.737575	4.9228	2.80635	0	0	0	0	1.867945	16.69007
0	0.7761	0.640065625	67.330009375	0.37562	2.37173125	0	0	1.768406875	2.5619625	3.32355	2.671265625	0	0.1008	0	1.6779	0.42955	5.85528875
0.4752	0	2.015125	54.136065	0.635733333333333	0.0972	0.0292	1.15844	3.051445	0.064	0.0969	15.3085483333333	0	2.75831	4.69854	0.064	1.53064	27.42091
0.309691666666667	0	0	30.5934716666667	0.00333	0.8064875	0.02555	0	0.680738333333333	0	7.3598	7.43375	3.4566	1.3261	0	0	2.1233275	51.8444041666667
0.0588	1.0319	0	32.31351148	0.2065	0.2124	0.3501125	7.00803	1.50098	0.868425	6.1346	14.006105	0	0	1.658475	1.7465	0.1892	13.17898
2.33064	0.536	3.276875	38.89605	0.447545	0	0.0125	0	1.0084375	1.694025	5.3034	3.304875	0	0	0	0	2.04672	15.67217
0.7807	1.5665	0.40284375	42.4813879166667	0.581163333333333	0.302554166666667	0.208675	0	1.49546666666667	3.438775	5.5531	0.516630416666667	0	0	0	0.0644	1.0464	10.9311158333333
0.219983333333333	0	0.548725	46.4645031633333	0.794791666666667	0.110133333333333	0.114166666666667	0	1.88149666666667	0	0.0285	12.5395383333333	2.2902	0.22976	6.55212	0.470166666666667	3.34490833333333	31.7183820833333
0.623832666666667	0	0.258	51.9979797333333	0	0.919266666666667	0	0	0.151661526666667	0	15.041408	4.47842666666667	1.32853333333333	1.61633333333333	0	0	4.76361833333333	108.911844706667
0.180570833333333	0.0908333333333333	0	16.16238392	0.132733333333333	0.0708333333333333	0.036	0.144	1.04520333333333	1.3185	4.01513333333333	8.46673	1.94819333333333	0.255866666666667	3.73842	1.40041666666667	0.454523333333333	11.05006
