SEQN	SDDSRVYR	RIDSTATR	RIAGENDR	RIDAGEYR	RIDAGEMN	RIDRETH1	RIDRETH3	RIDEXMON	RIDEXAGM	DMQMILIZ	DMQADFC	DMDBORN4	DMDCITZN	DMDYRSUS	DMDEDUC3	DMDEDUC2	DMDMARTL	RIDEXPRG	SIALANG	SIAPROXY	SIAINTRP	FIALANG	FIAPROXY	FIAINTRP	MIALANG	MIAPROXY	MIAINTRP	AIALANGA	DMDHHSIZ	DMDFMSIZ	DMDHHSZA	DMDHHSZB	DMDHHSZE	DMDHRGND	DMDHRAGE	DMDHRBR4	DMDHREDU	DMDHRMAR	DMDHSEDU	WTINT2YR	WTMEC2YR	SDMVPSU	SDMVSTRA	INDHHIN2	INDFMIN2	INDFMPIR
83801	9	2	2	80	NA	3	3	1	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	NA	2	2	0	0	2	1	80	1	4	1	5	59053.937375	61722.129659	2	132	77	77	NA
83803	9	2	1	27	NA	4	4	2	NA	2	NA	1	1	NA	NA	4	3	NA	1	2	2	1	2	2	NA	NA	NA	NA	1	1	0	0	0	1	27	1	4	3	NA	21218.100824	21170.1696	2	126	6	6	2.36
83809	9	2	2	20	NA	4	4	2	NA	2	NA	1	1	NA	NA	3	5	2	1	2	2	1	2	2	1	2	2	1	4	4	1	0	0	1	33	1	5	6	NA	37564.933469	40405.577191	1	129	14	14	3.3
83812	9	2	2	68	NA	1	1	1	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	3	3	0	0	2	2	68	1	3	1	5	10255.968393	9985.161752	1	124	15	15	5
83816	9	2	1	27	NA	3	3	2	NA	2	NA	1	1	NA	NA	4	6	NA	1	2	2	1	2	2	1	2	2	1	3	1	0	0	0	1	34	NA	NA	5	NA	68394.019682	73364.003944	1	126	7	1	0
83817	9	2	1	42	NA	3	3	2	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	5	5	2	1	0	2	35	1	5	1	5	155365.014086	156668.5007	2	124	15	15	4.22
83818	9	2	2	80	NA	2	2	2	NA	2	NA	2	1	8	NA	1	2	NA	2	2	2	2	2	2	2	2	2	NA	1	1	0	0	1	2	80	2	1	2	NA	7124.421828	8609.62524	2	119	3	3	0.84
83820	9	2	1	70	NA	3	3	2	NA	2	NA	1	1	NA	NA	5	6	NA	1	2	2	1	2	2	1	2	2	NA	2	1	0	0	2	1	70	1	5	6	NA	56259.36181	57057.111281	2	132	10	8	4.18
83824	9	2	1	23	NA	5	6	2	NA	2	NA	2	2	1	NA	5	5	NA	1	2	1	1	2	1	NA	NA	NA	NA	4	1	0	0	0	1	23	NA	NA	5	NA	18936.932921	17901.767853	1	119	NA	1	0
83827	9	2	1	61	NA	4	4	2	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	2	2	0	0	1	1	61	1	3	1	3	14080.095558	15028.726858	1	126	10	10	4.39
83828	9	2	2	39	NA	1	1	2	NA	2	NA	2	2	6	NA	3	1	2	2	2	2	1	2	2	1	2	2	1	7	7	0	3	2	1	76	2	1	1	1	29007.798687	30343.023526	2	129	4	4	0.49
83829	9	2	1	50	NA	5	6	1	NA	2	NA	2	1	6	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	5	5	0	2	0	2	45	2	5	1	5	16707.332452	19543.327056	2	122	15	15	5
83832	9	2	2	50	NA	1	1	1	NA	2	NA	2	2	4	NA	1	4	NA	2	2	2	2	2	2	2	2	1	2	5	5	0	1	0	2	50	2	1	4	NA	11709.112101	12034.175845	1	121	7	7	1.41
83834	9	2	1	69	NA	4	4	2	NA	2	NA	1	1	NA	NA	3	5	NA	1	2	2	1	2	2	1	2	2	1	1	1	0	0	1	1	69	1	3	5	NA	11885.516628	12267.52054	2	131	3	3	0.97
83836	9	2	2	18	NA	1	1	1	220	2	NA	1	1	NA	9	NA	NA	NA	1	2	2	2	2	2	1	2	2	1	6	6	0	1	0	2	54	2	4	1	2	10229.927692	10403.834454	1	133	14	14	2.76
83837	9	2	2	45	NA	1	1	1	NA	2	NA	2	1	7	NA	2	1	NA	1	2	2	1	2	2	1	2	2	1	7	7	1	2	0	1	47	2	4	1	2	15415.161445	16341.919117	1	133	14	14	2.18
83843	9	2	1	80	NA	3	3	1	NA	1	1	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	NA	2	2	0	0	2	2	80	1	1	1	4	17184.348418	18517.464588	1	128	8	8	2.82
83845	9	2	2	44	NA	4	4	2	NA	2	NA	1	1	NA	NA	1	5	2	1	2	2	1	2	2	1	2	2	1	7	7	2	2	0	2	30	1	4	6	NA	21984.309488	22031.510992	2	124	9	9	1.5
83847	9	2	1	18	NA	3	3	1	217	2	NA	1	1	NA	10	NA	NA	NA	1	2	2	1	2	2	1	2	2	1	3	3	0	0	0	1	53	NA	NA	1	5	82367.370906	86016.324929	2	128	15	15	5
83851	9	2	2	37	NA	3	3	1	NA	2	NA	1	1	NA	NA	3	1	2	1	2	2	1	2	2	1	2	2	1	4	4	0	2	0	1	42	1	2	1	3	73609.001981	73157.086814	1	120	8	8	1.86
83856	9	2	1	30	NA	3	3	2	NA	1	1	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	4	4	1	1	0	1	30	1	4	1	4	46748.643978	48195.032625	1	130	8	8	1.9
83857	9	2	2	31	NA	3	3	1	NA	2	NA	1	1	NA	NA	5	1	2	1	2	2	1	2	2	1	2	2	1	2	2	0	0	0	1	30	1	5	1	5	131578.075085	135210.781434	1	130	15	15	5
83863	9	2	1	35	NA	1	1	1	NA	2	NA	2	2	7	NA	3	1	NA	1	2	1	1	2	2	1	2	2	1	5	5	2	1	0	1	35	2	3	1	5	24494.468888	25463.372657	1	120	14	14	2.64
83866	9	2	1	40	NA	4	4	2	NA	2	NA	1	1	NA	NA	4	5	NA	1	2	2	1	2	2	1	2	2	1	3	3	0	0	1	1	60	1	5	1	5	29757.77379	29280.855908	1	132	14	14	4.36
83869	9	2	2	67	NA	3	3	1	NA	2	NA	1	1	NA	NA	5	3	NA	1	2	2	1	2	2	1	2	2	1	1	1	0	0	1	2	67	1	5	3	NA	37858.790466	37505.346642	2	132	4	4	1.35
83870	9	2	1	48	NA	1	1	2	NA	2	NA	2	2	6	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	5	5	0	2	0	1	48	2	3	1	2	39125.717233	40991.596214	1	132	9	9	2.24
83871	9	2	2	30	NA	1	1	1	NA	2	NA	2	2	4	NA	1	6	2	2	2	1	2	2	1	2	2	2	2	7	7	2	3	0	1	41	2	1	6	NA	22381.025078	23411.220472	1	120	6	6	0.87
83872	9	2	1	63	NA	1	1	2	NA	2	NA	2	1	8	NA	3	2	NA	1	2	2	1	2	2	2	2	2	2	4	4	0	1	1	1	63	2	3	2	NA	8012.500733	7738.995646	1	122	99	99	NA
83876	9	2	2	71	NA	3	3	1	NA	2	NA	1	1	NA	NA	3	3	NA	1	2	2	1	2	2	1	2	2	NA	1	1	0	0	1	2	71	1	3	3	NA	45307.96496	51541.657183	2	132	2	2	0.81
83881	9	2	2	32	NA	3	3	1	NA	2	NA	2	2	4	NA	5	1	2	1	2	2	1	2	2	1	2	2	1	4	4	2	0	0	1	34	1	5	1	5	59714.394897	61363.034774	2	125	8	8	2.06
83883	9	2	2	80	NA	1	1	1	NA	2	NA	1	1	NA	NA	2	5	NA	2	2	1	1	2	1	1	2	2	NA	1	1	0	0	1	2	80	1	2	5	NA	12211.034893	11641.228605	1	128	2	2	0.68
83884	9	2	1	61	NA	1	1	1	NA	1	2	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	4	4	0	0	1	1	61	1	3	1	3	8261.762664	8113.690331	1	127	4	4	0.62
83885	9	2	2	38	NA	5	6	1	NA	2	NA	2	1	3	NA	4	1	2	1	2	2	1	2	2	1	2	2	1	4	4	0	2	0	1	54	2	4	1	4	12817.56984	13606.800072	2	121	14	14	3.62
83886	9	2	1	74	NA	3	3	2	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	NA	2	2	0	0	2	1	74	1	5	1	4	18954.716964	18906.149564	2	123	6	6	2
83887	9	2	2	51	NA	4	4	2	NA	2	NA	2	2	1	NA	2	1	NA	1	2	2	1	2	2	1	2	2	1	6	6	1	1	1	2	51	2	2	1	3	27755.646518	27815.239396	1	119	99	99	NA
83889	9	2	1	26	NA	3	3	2	NA	2	NA	1	1	NA	NA	5	6	NA	1	2	2	1	2	2	1	2	2	1	2	1	0	0	0	1	26	1	5	6	NA	160380.463921	170717.940863	1	132	14	8	4.25
83890	9	2	2	18	NA	5	6	2	219	2	NA	1	1	NA	13	NA	NA	NA	1	2	2	1	2	1	1	2	2	1	5	5	0	2	0	1	48	2	1	1	3	7855.328403	7587.102082	1	119	6	6	0.95
83891	9	2	2	54	NA	3	3	1	NA	2	NA	1	1	NA	NA	4	5	NA	1	2	2	1	2	2	1	2	2	1	1	1	0	0	0	2	54	1	4	5	NA	96865.533406	97546.396749	1	125	9	9	5
83894	9	2	1	60	NA	4	4	1	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	7	7	0	4	1	2	59	1	4	1	3	11029.710205	14849.610234	2	133	8	8	1.23
83895	9	2	2	80	NA	3	3	2	NA	2	NA	1	1	NA	NA	3	2	NA	1	2	2	1	2	2	1	2	2	NA	3	3	0	1	1	2	80	1	3	2	NA	36609.713887	38906.088612	1	130	4	4	0.77
83897	9	2	2	29	NA	3	3	1	NA	2	NA	1	1	NA	NA	5	6	2	1	2	2	1	2	2	1	2	2	1	2	1	0	0	0	1	33	2	5	6	NA	67592.46663	68402.551901	2	121	7	5	1.68
83898	9	2	1	55	NA	3	3	1	NA	1	2	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	3	3	0	1	0	1	55	1	4	1	5	186465.504037	197997.70503	2	127	8	8	2.68
83899	9	2	1	27	NA	3	3	2	NA	2	NA	1	1	NA	NA	1	1	NA	1	2	2	1	2	2	1	2	2	1	2	2	0	0	0	1	27	1	1	1	4	38559.402097	41361.395933	1	131	6	6	1.57
83902	9	2	1	49	NA	3	3	2	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	2	2	0	0	0	1	49	1	4	1	4	174686.833452	180562.622596	1	132	15	15	5
83903	9	2	2	47	NA	4	4	1	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	3	3	0	0	0	2	47	1	4	1	5	29052.030396	30052.523171	2	128	7	7	2.08
83908	9	2	1	51	NA	4	4	2	NA	2	NA	2	1	3	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	2	1	0	0	1	1	60	2	3	1	NA	23184.535988	22812.965188	2	120	6	4	1.43
83909	9	2	2	49	NA	3	3	1	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	NA	NA	NA	NA	3	3	0	1	0	1	44	1	4	1	4	37421.782338	41791.705485	2	131	77	77	NA
83911	9	2	2	43	NA	4	4	2	NA	2	NA	1	1	NA	NA	4	6	2	1	2	2	1	2	2	1	2	2	1	4	4	1	0	0	1	33	1	5	6	NA	36302.125775	37552.297073	1	129	14	14	3.3
83913	9	2	1	43	NA	5	6	2	NA	2	NA	2	2	3	NA	1	1	NA	1	2	1	1	2	1	1	2	1	NA	4	4	1	1	0	1	43	2	1	1	2	11657.565795	11939.081157	2	120	7	7	1.44
83914	9	2	2	23	NA	2	2	1	NA	2	NA	2	1	3	NA	4	5	1	1	2	2	1	2	2	1	2	2	1	2	2	0	0	0	1	48	1	4	1	4	31630.348823	32116.999102	1	121	7	7	2.32
83919	9	2	1	19	NA	1	1	1	236	2	NA	1	1	NA	13	NA	NA	NA	1	2	2	2	2	2	1	2	2	1	3	3	0	0	0	1	19	1	3	NA	NA	18808.78021	18630.561724	1	120	6	6	1.64
83920	9	2	2	68	NA	1	1	1	NA	2	NA	2	1	8	NA	1	1	NA	2	2	1	2	2	1	2	2	2	2	7	7	0	2	2	1	68	2	1	1	1	9719.309761	9306.463126	1	121	3	3	0.35
83924	9	2	2	48	NA	3	3	2	NA	2	NA	1	1	NA	NA	1	1	NA	1	2	2	1	2	2	1	2	2	1	2	2	0	0	0	2	48	1	1	1	3	107794.053857	108055.854056	2	123	7	7	2.5
83925	9	2	2	74	NA	2	2	1	NA	2	NA	1	1	NA	NA	3	2	NA	1	2	2	1	2	2	1	2	2	NA	1	1	0	0	1	2	74	1	3	2	NA	11817.130541	12379.093161	1	128	8	8	3.82
83926	9	2	1	66	NA	3	3	2	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	2	2	0	0	2	1	66	1	4	1	4	114108.866749	113023.591546	2	126	9	9	3.43
83928	9	2	2	62	NA	1	1	1	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	NA	NA	NA	1	2	2	1	2	2	0	0	2	1	60	1	2	1	3	9632.695762	9223.528226	1	120	NA	NA	NA
83931	9	2	1	37	NA	2	2	1	NA	2	NA	1	1	NA	NA	2	4	NA	1	2	2	1	2	2	1	2	2	1	3	3	0	0	1	1	61	1	3	1	3	29104.310658	30255.561433	2	125	7	7	2.08
83932	9	2	2	80	NA	3	3	2	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	NA	2	2	0	0	2	1	80	1	4	1	4	47792.366573	50790.182481	1	130	8	8	3.14
83933	9	2	2	31	NA	3	3	1	NA	2	NA	1	1	NA	NA	2	6	2	1	2	2	1	2	2	1	2	2	1	5	5	0	2	0	2	31	1	2	6	NA	53717.564965	54657.454167	2	125	7	7	1.32
83941	9	2	1	71	NA	2	2	1	NA	2	NA	2	1	6	NA	3	1	NA	2	2	2	NA	NA	NA	2	2	2	NA	4	4	0	0	1	1	71	2	3	1	NA	7167.007759	7124.584524	1	124	NA	NA	NA
83944	9	2	1	75	NA	4	4	2	NA	2	NA	1	1	NA	NA	4	6	NA	1	2	2	1	2	2	1	2	2	NA	3	3	0	0	1	1	75	1	4	6	NA	12242.238241	12818.137491	2	126	4	4	0.74
83946	9	2	1	43	NA	3	3	2	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	4	4	0	2	0	1	43	1	5	1	5	164949.5265	164144.33165	1	126	15	15	5
83949	9	2	2	78	NA	3	3	1	NA	2	NA	1	1	NA	NA	3	2	NA	1	2	2	1	2	2	1	2	2	NA	1	1	0	0	1	2	78	1	3	2	NA	48991.552289	51570.787479	1	125	6	6	2.38
83950	9	2	1	55	NA	3	3	2	NA	2	NA	1	1	NA	NA	2	3	NA	1	2	2	1	2	2	1	2	2	1	1	1	0	0	0	1	55	1	2	3	NA	35971.936603	38997.631276	2	130	2	2	0.61
83953	9	2	2	46	NA	1	1	1	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	2	2	0	0	0	1	48	1	2	1	5	32549.651673	34058.675648	1	128	15	15	5
83954	9	2	1	53	NA	3	3	2	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	2	2	0	0	0	1	53	1	3	1	4	115546.600602	120076.911339	2	123	14	14	5
83955	9	2	1	47	NA	4	4	1	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	3	3	0	1	0	1	47	1	4	1	4	22293.809933	23189.912945	1	133	14	14	4.48
83958	9	2	2	47	NA	4	4	2	NA	2	NA	1	1	NA	NA	3	3	NA	1	2	2	1	2	2	1	2	2	1	3	2	0	0	0	1	45	NA	NA	6	NA	22585.839346	22634.332368	2	131	6	1	0.25
83959	9	2	2	22	NA	3	3	1	NA	2	NA	1	1	NA	NA	4	5	2	1	2	2	1	2	2	1	2	2	1	4	4	1	0	1	1	60	2	4	3	NA	57082.336854	57766.459844	1	125	4	4	0.8
83961	9	2	2	44	NA	3	3	1	NA	2	NA	1	1	NA	NA	4	1	2	1	2	2	1	2	2	1	2	2	1	4	4	0	2	0	2	44	1	4	1	3	107034.463902	123942.642998	2	121	14	14	3.7
83962	9	2	2	28	NA	4	4	2	NA	2	NA	2	1	4	NA	5	5	2	1	2	2	1	2	2	1	2	2	1	4	4	1	1	0	1	32	1	5	6	NA	32411.12157	31735.964902	2	129	7	7	1.65
83963	9	2	2	44	NA	4	4	2	NA	2	NA	1	1	NA	NA	4	3	2	1	2	2	1	2	2	1	2	2	1	3	3	0	1	0	2	44	1	4	3	NA	28232.334461	29204.598577	2	130	6	6	1.51
83966	9	2	1	27	NA	1	1	1	NA	2	NA	2	2	4	NA	2	5	NA	2	2	2	2	2	2	2	2	2	2	6	6	1	2	0	2	35	2	2	1	3	29671.144939	39017.960483	1	120	4	4	0.57
83967	9	2	1	40	NA	5	7	1	NA	1	2	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	3	3	1	0	0	1	40	1	5	1	5	20475.585062	21185.728757	2	128	15	15	5
83969	9	2	2	21	NA	3	3	1	NA	2	NA	1	1	NA	NA	4	1	2	1	2	2	1	2	2	1	2	2	1	2	2	0	0	0	1	21	1	4	1	4	72834.280133	73707.187729	1	127	6	6	2.01
83971	9	2	2	26	NA	3	3	2	NA	2	NA	1	1	NA	NA	4	1	2	1	2	2	1	2	2	1	2	2	1	4	4	2	0	0	2	26	1	4	1	4	52616.522076	53247.122965	1	131	9	9	2.27
83975	9	2	2	65	NA	2	2	1	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	3	3	0	0	2	1	66	1	5	1	3	10495.865944	10191.914345	1	127	14	14	4.11
83977	9	2	2	80	NA	3	3	1	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	NA	2	2	0	0	2	1	80	1	3	1	3	55881.165728	58406.004915	2	121	7	7	2.5
83982	9	2	1	25	NA	3	3	2	NA	2	NA	1	1	NA	NA	5	5	NA	1	2	2	1	2	2	1	2	2	1	6	6	0	0	0	2	23	1	5	5	NA	140866.697253	151436.562639	2	123	15	15	3.07
83986	9	2	1	40	NA	3	3	2	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	6	6	0	3	0	1	40	1	4	1	4	49076.369918	50727.109106	1	122	7	7	1.11
83987	9	2	1	68	NA	1	1	1	NA	2	NA	2	2	8	NA	1	1	NA	2	2	1	2	2	1	2	2	2	NA	7	7	0	2	2	1	68	2	1	1	1	9680.790253	9350.338441	1	121	3	3	0.35
83989	9	2	2	37	NA	4	4	2	NA	2	NA	1	1	NA	NA	2	5	2	1	2	2	1	2	2	1	2	2	1	2	2	0	0	0	2	57	1	2	5	NA	26534.179456	26323.048964	2	130	1	1	0.16
83990	9	2	2	79	NA	1	1	1	NA	2	NA	2	2	7	NA	1	1	NA	2	2	2	1	2	2	2	2	2	NA	2	2	0	0	2	1	80	2	1	1	1	15028.852963	14327.558193	1	128	3	3	0.65
83992	9	2	1	68	NA	5	6	1	NA	2	NA	2	1	7	NA	5	1	NA	1	2	2	1	2	2	NA	NA	NA	NA	2	2	0	0	2	1	68	2	5	1	4	14471.154605	20179.417316	2	133	15	15	5
83993	9	2	2	41	NA	4	4	2	NA	2	NA	1	1	NA	NA	3	6	2	1	2	2	1	2	2	1	2	2	1	2	1	0	0	0	1	41	NA	NA	6	NA	27155.844587	27214.149657	2	124	6	6	2.1
83994	9	2	2	60	NA	3	3	1	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	2	2	0	0	2	1	61	1	5	1	5	227372.091075	223381.482388	2	127	15	15	5
83995	9	2	1	43	NA	4	4	2	NA	2	NA	1	1	NA	NA	4	6	NA	1	2	2	1	2	2	1	2	2	1	2	1	0	0	0	2	53	2	4	6	NA	23983.819165	24624.0564	2	129	15	9	5
83996	9	2	2	60	NA	4	4	2	NA	2	NA	1	1	NA	NA	5	2	NA	1	2	2	1	2	2	1	2	2	1	2	2	0	0	1	2	60	1	5	2	NA	18174.68369	18103.656902	2	119	77	77	NA
83998	9	2	2	31	NA	3	3	2	NA	2	NA	1	1	NA	NA	5	5	2	1	2	2	1	2	2	1	2	2	1	1	1	0	0	0	2	31	1	5	5	NA	120133.900083	122235.867207	1	132	7	7	3.57
83999	9	2	1	71	NA	5	6	2	NA	2	NA	2	2	7	NA	1	1	NA	1	2	1	1	2	1	NA	NA	NA	NA	2	2	0	0	2	1	71	2	1	1	1	13587.734996	13483.718541	1	119	3	3	0.75
84001	9	2	2	54	NA	2	2	2	NA	2	NA	1	1	NA	NA	4	3	NA	1	2	2	1	2	2	1	2	2	1	1	1	0	0	0	2	54	1	4	3	NA	17419.706242	17701.82134	1	123	9	9	4.89
