FoodCode	DRXFCSD	Main.food.description	Old.Main.food.description	ModCode	FoodID
1.1e+07	MILK, HUMAN	Milk_human	Milk, human	0	1.1e+07.0
11100000	MILK, NFS	Milk_NFS	Milk, NFS	0	11100000.0
11111000	MILK, WHOLE	Milk_whole	Milk, whole	0	11111000.0
11111100	MILK, LOW SODIUM, WHOLE	Milk_low_sodium_whole	Milk, low sodium, whole	0	11111100.0
11111150	MILK, CALCIUM FORTIFIED, WHOLE	Milk_calcium_fortified_whole	Milk, calcium fortified, whole	0	11111150.0
11111160	MILK, CALCIUM FORTIFIED, LOW FAT (1%)	Milk_calcium_fortified_low_fat_1_	Milk, calcium fortified, low fat (1%)	0	11111160.0
11111170	MILK, CALCIUM FORTIFIED, FAT FREE (SKIM)	Milk_calcium_fortified_fat_free_skim_	Milk, calcium fortified, fat free (skim)	0	11111170.0
11112110	MILK, REDUCED FAT (2%)	Milk_reduced_fat_2_	Milk, reduced fat (2%)	0	11112110.0
11112120	MILK, ACIDOPHILUS, LOW FAT (1%)	Milk_acidophilus_low_fat_1_	Milk, acidophilus, low fat (1%)	0	11112120.0
11112130	MILK, ACIDOPHILUS, REDUCED FAT (2%)	Milk_acidophilus_reduced_fat_2_	Milk, acidophilus, reduced fat (2%)	0	11112130.0
11112210	MILK, LOW FAT (1%)	Milk_low_fat_1_	Milk, low fat (1%)	0	11112210.0
11113000	MILK, FAT FREE (SKIM)	Milk_fat_free_skim_	Milk, fat free (skim)	0	11113000.0
11114300	MILK, LACTOSE FREE, LOW FAT (1%)	Milk_lactose_free_low_fat_1_	Milk, lactose free, low fat (1%)	0	11114300.0
11114320	MILK, LACTOSE FREE, FAT FREE (SKIM)	Milk_lactose_free_fat_free_skim_	Milk, lactose free, fat free (skim)	0	11114320.0
11114330	MILK, LACTOSE FREE, REDUCED FAT (2%)	Milk_lactose_free_reduced_fat_2_	Milk, lactose free, reduced fat (2%)	0	11114330.0
11114350	MILK, LACTOSE FREE, WHOLE	Milk_lactose_free_whole	Milk, lactose free, whole	0	11114350.0
11115000	BUTTERMILK, FAT FREE (SKIM)	Buttermilk_fat_free_skim_	Buttermilk, fat free (skim)	0	11115000.0
