FoodCodes	drxfcsd	Main.food.description	Old.Main.food.description	ModCode	FoodID
11100000	MILK, NFS	Milk_NFS	Milk, NFS	0	11100000.0
11111000	MILK, COWS, FLUID, WHOLE	Milk_cows_fluid_whole	Milk, cows, fluid, whole	0	11111000.0
11112110	MILK, COWS, FLUID, 2% FAT	Milk_cows_fluid_2_fat	Milk, cows, fluid, 2% fat	0	11112110.0
11112210	MILK, COWS, FLUID, 1% FAT	Milk_cows_fluid_1_fat	Milk, cows, fluid, 1% fat	0	11112210.0
11113000	MILK, COWS, FLUID, SKIM OR NONFAT	Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat	Milk, cows, fluid, skim or nonfat, 0.5% or less butterfat	0	11113000.0
11114300	MILK, LOW LACTOSE, 1% FAT	Milk_cows_fluid_lactose_reduced_1_fat	Milk, cows, fluid, lactose reduced, 1% fat	0	11114300.0
11114320	MILK, LOW LACTOSE, NONFAT	Milk_cows_fluid_lactose_reduced_nonfat	Milk, cows, fluid, lactose reduced, nonfat	0	11114320.0
11114330	MILK, COWS FL LACTOSE REDUCED 2% FAT (LACTAID)	Milk_cows_fluid_lactose_reduced_2_fat	Milk, cows, fluid, lactose reduced, 2% fat	0	11114330.0
11121300	MILK, DRY, RECONSTITUTED, NONFAT	Milk_dry_reconstituted_nonfat	Milk, dry, reconstituted, nonfat	0	11121300.0
11210050	MILK, EVAPORATED, NS AS TO FAT CONTENT	Milk_evaporated_NS_as_to_fat_content_formerly_NS_as_to_dilution_used_in_coffee_or_tea_assume_undiluted_	Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)	0	11210050.0
11211050	MILK, EVAPORATED, WHOLE	Milk_evaporated_whole_formerly_NS_as_to_dilution_used_in_coffee_or_tea_	Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)	0	11211050.0
11220000	MILK, CONDENSED, SWEETENED	Milk_condensed_sweetened_formerly_NS_as_to_dilution_	Milk, condensed, sweetened (formerly NS as to dilution)	0	11220000.0
11320200	MILK, SOY, NONFAT, READY-TO-DRINK, NOT BABYS	Milk_soy_nonfat_ready_to_drink_not_babys	Milk, soy, nonfat, ready-to-drink, not babys	0	11320200.0
11411200	YOGURT, PLAIN, LOWFAT MILK	Yogurt_plain_lowfat_milk	Yogurt, plain, lowfat milk	0	11411200.0
11431000	YOGURT, FRUIT VARIETY, WHOLE MILK	Yogurt_fruit_variety_whole_milk	Yogurt, fruit variety, whole milk	0	11431000.0
11432000	YOGURT, FRUIT VARIETY, LOWFAT MILK	Yogurt_fruit_variety_lowfat_milk	Yogurt, fruit variety, lowfat milk	0	11432000.0
