FoodCodes	drxfcsd	Main.food.description	Old.Main.food.description	ModCode	FoodID
11100000	MILK, NFS	Milk_NFS	Milk, NFS	0	11100000.0
11111000	MILK, COWS, FLUID, WHOLE	Milk_cows_fluid_whole	Milk, cows, fluid, whole	0	11111000.0
11112110	MILK, COWS, FLUID, 2% FAT	Milk_cows_fluid_2_fat	Milk, cows, fluid, 2% fat	0	11112110.0
11112210	MILK, COWS, FLUID, 1% FAT	Milk_cows_fluid_1_fat	Milk, cows, fluid, 1% fat	0	11112210.0
11113000	MILK, COWS, FLUID, SKIM OR NONFAT	Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat	Milk, cows, fluid, skim or nonfat, 0.5% or less butterfat	0	11113000.0
11210050	MILK, EVAPORATED, NS AS TO FAT CONTENT	Milk_evaporated_NS_as_to_fat_content_formerly_NS_as_to_dilution_used_in_coffee_or_tea_assume_undiluted_	Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)	0	11210050.0
11211050	MILK, EVAPORATED, WHOLE	Milk_evaporated_whole_formerly_NS_as_to_dilution_used_in_coffee_or_tea_	Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)	0	11211050.0
11220000	MILK, CONDENSED, SWEETENED	Milk_condensed_sweetened_formerly_NS_as_to_dilution_	Milk, condensed, sweetened (formerly NS as to dilution)	0	11220000.0
11411010	YOGURT, PLAIN, NS AS TO TYPE OF MILK	Yogurt_plain_NS_as_to_type_of_milk	Yogurt, plain, NS as to type of milk	0	11411010.0
11411100	YOGURT, PLAIN, WHOLE MILK	Yogurt_plain_whole_milk	Yogurt, plain, whole milk	0	11411100.0
11430000	YOGURT, FRUIT VARIETY, NS AS TO MILK TYPE	Yogurt_fruit_variety_NS_as_to_type_of_milk	Yogurt, fruit variety, NS as to type  of milk	0	11430000.0
11432000	YOGURT, FRUIT VARIETY, LOWFAT MILK	Yogurt_fruit_variety_lowfat_milk	Yogurt, fruit variety, lowfat milk	0	11432000.0
11433000	YOGURT, FRUIT VARIETY, NONFAT MILK	Yogurt_fruit_variety_nonfat_milk	Yogurt, fruit variety, nonfat milk	0	11433000.0
11459990	YOGURT, FROZEN, NS AS TO FLAVOR, NS TO TYPE OF MILK	Yogurt_frozen_NS_as_to_flavor_NS_as_to_type_of_milk	Yogurt, frozen, NS as to flavor, NS as to type of milk	0	11459990.0
11460160	YOGURT, FROZEN, CHOCOLATE, LOWFAT MILK	Yogurt_frozen_chocolate_lowfat_milk	Yogurt, frozen, chocolate, lowfat milk	0	11460160.0
