"","F_TOTAL","F_CITMLB","F_OTHER","F_JUICE","V_TOTAL","V_DRKGR","V_REDOR_TOTAL","V_REDOR_TOMATO","V_REDOR_OTHER","V_STARCHY_TOTAL","V_STARCHY_POTATO","V_STARCHY_OTHER","V_OTHER","V_LEGUMES","G_TOTAL","G_WHOLE","G_REFINED","PF_TOTAL","PF_MPS_TOTAL","PF_MEAT","PF_CUREDMEAT","PF_ORGAN","PF_POULT","PF_SEAFD_HI","PF_SEAFD_LOW","PF_EGGS","PF_SOY","PF_NUTSDS","PF_LEGUMES","D_TOTAL","D_MILK","D_YOGURT","D_CHEESE","OILS","SOLID_FATS","ADD_SUGARS","A_DRINKS"
"F_TOTAL",0,0.462776315908041,0.193960208899409,0.559966858098566,0.728562214804167,0.776947527399712,0.79881064873903,0.915294922843926,0.789390513096626,0.942042495826468,1.00129629980257,0.8862252999569,0.82361277131284,0.942957080334301,0.927655119506457,0.92288539025964,0.953878251495033,0.848210888855881,0.978248694002219,1.05697063274699,0.995646398429708,0.9551920241721,0.940390813730414,0.991234297056852,0.9582896109026,0.935514712727893,1.16399683694285,0.687532944156512,0.94360266417909,0.841864916954642,0.915395951635681,0.830107981638597,0.836522302943259,0.87650037244848,0.793131015684198,0.961248546639035,1.00278786189199
"F_CITMLB",0.462776315908041,0,0.891538227915002,1.00007591445392,0.869864114448981,0.879703809291152,0.813492182931383,0.911358910683576,0.816218768593066,1.04457181019072,1.08193514904738,0.94996763333464,0.939499332084455,0.911285812712844,0.847968487299369,0.855862853845646,0.895423549491073,1.01210921636443,1.07312583019189,1.04906910193777,1.03346723686071,1.03345851303392,1.01813229086798,1.00534973602059,1.08439262311709,1.0364988810539,1.05667374411309,0.851577037759046,0.91200688672659,0.965855588302287,0.928746285265243,0.924988582688392,0.965789052480852,0.885278394997341,0.970788643360118,0.936130005192003,1.014098443963
"F_OTHER",0.193960208899409,0.891538227915002,0,0.921057467748901,0.741736862802955,0.780271499609259,0.861801708641384,0.968379597956362,0.825243186853791,0.890764568093848,0.968642698169283,0.841615992254655,0.833880709095761,0.963259938952886,1.08274745487025,1.02086212137513,1.08151373439125,0.856000750645814,0.947577600978249,1.03878043967175,0.97095336980948,0.983416997007388,0.920411921422106,0.975769629354362,0.98690168661942,0.931961433748794,1.15855917855499,0.76687769104798,0.963520349776583,0.945306216970818,0.94424660426497,0.848314112647682,0.963487931779531,0.93191420992883,0.927487148020794,1.02293203988732,1.00009978818387
"F_JUICE",0.559966858098566,1.00007591445392,0.921057467748901,0,0.936650244217526,0.978176273508053,0.959946054358403,0.944862459241857,1.00142159896445,1.00240801497247,0.964722188544641,1.0631405843302,0.926768225751336,1.02693478411117,0.836129657885954,0.931611093077418,0.850135794189889,0.862091997469297,0.955020567837395,1.01649702043353,1.00363767109919,0.874309416512604,0.973522232038441,1.01665585920427,0.814777120728981,0.916870853393339,1.05978588316264,0.803666480543723,1.02726369225205,0.731502272203441,0.970079507312758,0.933739792137011,0.683131667011402,0.94392367599944,0.632070404029001,0.931762041813797,0.9902057822868
"V_TOTAL",0.728562214804167,0.869864114448981,0.741736862802955,0.936650244217526,0,0.398134242226125,0.40522479053722,0.586017184460602,0.562642966686323,0.670558046694934,0.735062019285864,0.804860102992992,0.180998313575566,0.929831419059184,0.916067138770323,0.999037558387827,0.908692104319048,0.703250931620668,0.832804668605587,1.01616752079286,0.945150644160063,0.972198508151604,0.877065417092316,0.887945091950631,0.853524419828823,0.836698580685605,1.17635718162413,0.69163256002624,0.930179063576343,0.940127565914957,0.991459113004965,0.848304077446417,0.851322301400485,0.583076808192758,0.824199360185216,1.14004851997543,0.989346398237288
"V_DRKGR",0.776947527399712,0.879703809291152,0.780271499609259,0.978176273508053,0.398134242226125,0,0.824006157721609,0.9543097316608,0.783590627946968,1.04473319610195,1.06882288495744,0.972023122034674,0.688986073956565,1.01646850995533,1.10074025092573,1.05595674448586,1.08618736845703,0.793188442375366,0.856135041297304,1.062997259645,0.938661458352452,1.01862594806442,0.816719235845671,0.956748763453277,0.904062924356725,0.948973095026024,1.0955513228534,0.820136221278838,1.01646257340617,0.966489605266565,1.0131600021443,0.881743111870759,0.928215183951661,0.824639852408607,0.96372530691026,1.08967203926782,0.989129537628054
"V_REDOR_TOTAL",0.79881064873903,0.813492182931383,0.861801708641384,0.959946054358403,0.40522479053722,0.824006157721609,0,0.2454170177413,0.330985608429579,0.971803400122743,0.999150738811758,0.94710228417568,0.68754831750722,0.820049364175852,0.804669588767518,0.949967260414431,0.807917731231777,0.848423546500241,0.947057552174175,1.04027860809504,1.02089140581106,0.966933349450552,0.98138772215363,0.879707477006624,0.895576552494416,0.876729199857116,1.15906671715285,0.774585752103113,0.820747905767721,0.89280022241859,1.02243974202552,0.913296973997314,0.803184083116412,0.778801556175432,0.795637157289483,1.03819916912581,1.05272627418265
"V_REDOR_TOMATO",0.915294922843926,0.911358910683576,0.968379597956362,0.944862459241857,0.586017184460602,0.9543097316608,0.2454170177413,0,0.982896858758631,0.961740458692677,0.978137655288234,0.962568211545006,0.776654553791117,0.841600352062958,0.702893199043869,0.994778820230289,0.677561802108725,0.884390964845904,0.925227083130163,1.02750061135702,0.991712366529209,0.958715820798003,0.989089450903868,0.839694213425047,0.919203037564876,0.874829988006294,1.15445166517918,0.897019980233916,0.842725195861403,0.848861196537358,1.03938311750609,0.960942252177483,0.744376284073421,0.82020460000798,0.735843757738266,0.949833916116715,1.02421832719895
"V_REDOR_OTHER",0.789390513096626,0.816218768593066,0.825243186853791,1.00142159896445,0.562642966686323,0.783590627946968,0.330985608429579,0.982896858758631,0,1.00037169415881,1.023468347952,0.961797248880635,0.776891852509679,0.905221846748653,1.03889430897964,0.929679280087234,1.07253505609962,0.899988620474767,1.00402347862252,1.03022365473348,1.041219046028,0.996377089817854,0.983998443056554,0.998281419810112,0.932405421488535,0.953946946875022,1.06742917241951,0.773178326108589,0.905012155884227,1.00784775759533,0.989584010449545,0.912130010405529,0.989645085870608,0.866606767812536,0.987810252072199,1.11502432619143,1.05290773905047
"V_STARCHY_TOTAL",0.942042495826468,1.04457181019072,0.890764568093848,1.00240801497247,0.670558046694934,1.04473319610195,0.971803400122743,0.961740458692677,1.00037169415881,0,0.145333321295281,0.491352659640599,0.937214313703435,1.05742865688173,1.02575093416349,1.01060468214798,1.02361066679065,0.902093471992129,0.906269808386644,0.887920347084069,0.969365317883179,0.987521848640409,1.01124335303755,0.979371567379126,0.918041591993399,0.897121774121011,1.0625662255966,0.991986656660546,1.05682792541355,1.05537264273295,0.934778996947567,1.03231680380936,1.03331758764489,0.861362110000144,0.975899086979755,1.06128331959559,0.958136783222468
