Var	PC1	PC2	PC3	PC4
RET	0.300955921306278	-0.229143983065712	-0.0852822718043686	0.316509377819371
TFAT	0.0478361100631495	-0.331048591559142	-0.262657209827326	-0.18739633471134
MOIS	0.150663322632177	0.334587269552936	-0.18928031978432	-0.0112025364315075
CAFF	0.153611653948784	0.118210413277573	-0.391804200561823	0.129583548626817
FA	0.250125911145778	0.299686918447196	-0.059494724825594	0.0148453512084292
FIBE	-0.355440229293719	0.0934384735141137	0.0857875519533087	0.105888162345925
LYCO	-0.183155870779396	0.173041125640808	-0.345458213533236	-0.147843745647018
FF	-0.225628110326755	0.0421160877607656	0.357472162478831	-0.277847345558713
PHOS	0.316020357149182	-0.169354143839739	0.149727504999372	-0.170963406163358
POTA	-0.340899080314691	-0.164654342031874	-0.00796651349487033	0.164728457596274
SODI	0.247539028133309	0.123595672250484	0.309828924964644	-0.0883093495499658
ZINC	0.336250750285758	-0.0628953598070273	-0.181284237142509	0.0377379755308539
VB1	-0.341001653886711	0.133860495262098	-0.105480528086045	0.116190490493648
VB6	-0.0855023499089228	-0.400148946308509	-0.0125109064637848	0.497704681385329
FDFE	0.0604775104021948	0.337026324882373	0.249208687979507	-0.0343672346016653
LZ	-0.0667045061291787	-0.333241534226064	0.253003773876706	-0.175856687123806
MFAT	-0.0604412965668221	-0.269878426577368	-0.33408906228054	-0.614719717630652
CHOLN	0.248419565767892	-0.176593016969828	0.275717116363178	-0.0226624630408774
