PHOS	TFAT	CARB	MOIS	CAFF	IRON	CALC	FIBE	MAGN	POTA	SODI	SFAT	FF	CHOLN	VC	VB1	VB2	FDFE	FA	VARA	CRYP	LYCO	LZ	ATOC	S140	VITD	M221	PFAT	VITE_ADD	B12_ADD
808.23875	80.388625	152.82959	1669.28599	50.4	11.7972475	912.45375	33.903775	284.445	2974.3545	2550.0885	12.393455	410.3265	182.495325	179.478475	1.13795325	0.94949825	495.5415	52.025	310.61825	68.6735	7582.125	1340.89375	18.987955	0.195533	3.375425	0.0045	28.4141615	6.8564	1.5372
1164.270625	87.53381125	211.841305	1666.272488	0	14.00947125	700.038875	29.3516875	373.169375	4653.9535	4285.981375	17.110502	481.815625	219.7563375	117.71185	4.570951875	1.267285625	525.235625	26.7	344.282375	12.668625	3374.064	3388.636875	9.8703225	0.863747	2.102	0.00658725	31.17042388	0	2.8341
1126.238	90.00309	61.39264	1152.67065	0	7.31352	696.464	12.1654	172.051	2034.002	3888.654	21.438431	264.958	578.3338	72.312	1.565963	1.797407	268.378	1.71	613.21	24.414	8.76	2212.814	8.58331	0.970418	7.6735	0.029442	35.1618	0	2.1777
2524.6525	177.16881	64.8051	1049.907645	0	13.03479	583.9375	22.189	407.226	4639.97	5375.608	44.024672	405.545	1032.0588	237.6015	1.4890035	2.4126545	405.545	0	757.195	53.735	0	3863.735	14.011785	3.767239	49.6206	0.1965	54.34961	0	0
2146.164	84.104945	103.523845	2176.9113	34.56	10.356315	951.987	14.77495	369.282	3674.99	4040.697	22.5171765	356.4115	790.72655	98.77645	0.961387	3.336335	356.4115	0	904.832	101.4	1079.214	9208.122	9.44999	1.820307	19.0263	0.052296	22.4295085	0	0
1932.531	128.8942975	255.40106	2049.982108	229.71	18.2485075	1493.7225	13.19925	348.05325	3527.2455	4522.74425	49.29158925	226.545	569.315125	51.6435	1.56277275	2.797338	403.545	106.585	633.872	86.018	12458.46525	755.0995	7.8766	4.47155725	6.5615	0.0088505	20.71660525	0	0
1072.01875	79.7755125	211.699415	1825.752073	175.68	16.6775625	801.67425	11.4265	173.065	1515.30975	3511.1305	29.98107	148.79875	167.158	72.084125	1.92937625	1.9486845	518.81875	218.32	857.45375	5.4	0	223.775	4.336925	2.86356375	2.7735	0.27732	15.194095	0	3.24
1777.604	114.590715	281.3244275	1831.290333	225.48	12.62063	1100.0205	12.9147	241.2765	2774.1615	4474.283	30.796043	175.4865	431.6904	45.275775	1.440086	2.034342	388.0865	125.61	250.63325	138.09025	3618.684	588.74375	8.76876	2.00933375	3.781725	0.155038	26.94160425	0	0
1882.9744	108.0066688	258.5814098	2117.788831	20.86	22.7809112	904.446192	17.0756384	399.360256	2784.523052	10280.6073	22.78966644	607.696544	1061.96388	73.2890528	1.60670974	2.746445224	1011.781544	238.975	1379.5133	37.284	7.04	3359.527	15.41071896	0.512527384	23.3773	0.071241	39.26287813	0	0
2017.216411	40.53352235	128.0645544	1445.821722	38.88	9.689164825	241.6400305	14.4210068	274.849129	1953.982448	5663.382441	8.135327371	175.691119	601.8482306	12.734	0.778668031	1.243747153	296.816119	71.615	474.8065	31.73	0	1521.535	5.1372	0.246151	8.5404	0.028988	14.35174199	0	0
