UserName	macronutrient	n	mean	sd
VVKAJ102	CARB	2	182.3354475	41.7275838459479
VVKAJ103	CARB	3	76.5738616666667	23.401654259114
VVKAJ104	CARB	3	249.4749675	35.1887698086365
VVKAJ105	CARB	2	193.3229820825	92.2893534806642
VVKAJ102	PROT	2	48.722125625	14.3866116061419
VVKAJ103	PROT	3	133.345058333333	56.498559438942
VVKAJ104	PROT	3	98.2588175	37.1749681912857
VVKAJ105	PROT	2	116.663835495	27.4779026618811
VVKAJ102	TFAT	2	83.961218125	5.05240965021587
VVKAJ103	TFAT	3	117.092281666667	52.1113132731234
VVKAJ104	TFAT	3	107.753508333333	25.2631016745983
VVKAJ105	TFAT	2	74.2700955725	47.7107194063236
