Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
UserName	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
RecallRecId	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
UserID	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
RecallNo	1	1	2	2.02094240837696	3	3	0.82690364221465
RecallAttempt	0	0	0	0	0	0	0
RecallStatus	2	2	2	2	2	2	0
IntakeStartDateTime	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
IntakeEndDateTime	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
ReportingDate	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
Lang	1	1	1	1	1	1	0
Occ_No	1	2	3	2.6282722513089	3	5	1.24098290806952
Occ_Time	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
Occ_Name	1	1	3	2.84293193717278	4	7	1.69719266362082
EatWith	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
WatchTVuseComputer	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
Location	1	1	1	2.81675392670157	3	11	2.78585372668733
FoodNum	1	4	7	7.25130890052356	10	19	3.8552337445518
FoodType	1	1	1	1.16230366492147	1	2	0.369698215386796
FoodSrce	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
CodeNum	1	4.5	8	8.92146596858639	13	24	5.35469395141398
FoodCode	11320000	41601070	72119190	61314620.13089	75302080	94000100	23886671.728405
ModCode	0	0	0	0	0	0	0
HowMany	0.0208	0.5	1	3.26853308900524	3	42.525	5.68591665507424
SubCode	0	0	0	0	0	0	0
PortionCode	98	10205	21000	30241.109947644	60897.5	64696	21922.606504977
FoodAmt	0.3	28	75	131.55332521815	225.9	720	135.70939808011
KCAL	0	11.88	66.125	124.369555906632	163.65	663	147.1633105608
PROT	0	0.3150875	1.596	6.48426921399651	6.19425	85.32216	11.4637120034614
TFAT	0	0.11275	2.0332	5.94148621917103	7.38264	48.504	9.16825948807559
CARB	0	0.934	4.44375	11.1240295917539	13.9959	102.357	16.5750774610476
MOIS	0.00046	17.55253125	50.892	106.279072647443	168.2166	716.688	123.894534129806
ALC	0	0	0	0.277664921465969	0	14.04	1.80638647516465
CAFF	0	0	0	4.36026178010471	0	192	21.128799164686
THEO	0	0	0	0.487356020942408	0	48.175	4.41423510080892
SUGR	0	0.07775	0.82	3.0354904125829	3.7856	36.9768	5.57167399006177
FIBE	0	0	0.474	1.24538305113438	1.73975	10.71	1.87047452639981
CALC	0	5.74	15.8	52.665036978185	49.14	584.71875	95.6674242383085
IRON	0	0.08934	0.378	0.901548926570681	1.352825	6.804	1.21097988080611
MAGN	0	3.6975	11.96	20.2229102931937	27.216	177.12	25.52352679026
